song,rating,link
?,9.90,https://open.spotify.com/track/0hh6usshPzFf6j0lGkhMs3?si=ad34296c1d56434b
don't come back,9.90,https://open.spotify.com/track/3RhyHYnYxuGnP8njFlNxHq?si=8c3b7379290d4b2e
i'm so gone,9.80,https://open.spotify.com/track/6uNv4npQ8FZLsH7naE9GK4?si=897021d615694f3b
what would you do?,9.95,https://open.spotify.com/track/4ewmHD3aRBmLyTsbGreNLw?si=b8a3f32859e24067
chaotic,9.75,https://open.spotify.com/track/4bt7eqP7mfWduRBKEpCAzM?si=6e511782b175412d
hate myself,9.85,https://open.spotify.com/track/1bXm6XU3SYSqQGLTRhUSfm?si=05b681c4a5234d26
what's your problem?,9.96,https://open.spotify.com/track/3yoIliXhnorEdfTZ93W2YL?si=b8aab3b2395e4339
she's all i wanna be,9.97,https://open.spotify.com/track/7l9IqDtVWJurTvkQHq1BGh?si=811c82a38ee64839
boy x,9.93,https://open.spotify.com/track/4UbItCyP9q7MvuVogbDCgC?si=d8d574a511fc47bf
you're so cool,9.85,https://open.spotify.com/track/5XLgE4yoU9MyR5vkjNxpdF?si=251defd07f534388
feel like shit,9.95,https://open.spotify.com/track/03zuGqxMwUFFmCwusq0WKE?si=45878aa5eac548e4
go away,9.90,https://open.spotify.com/track/40yVW4Ywyxz8xkNcuLbP1N?si=fc551f7e99314979
i still say goodnight,9.00,https://open.spotify.com/track/2RwpoqhsYOZSGsF69KqjwP?si=277efed75ae34a91
