song,rating,link
TRYING ON SHOES,9.99,https://open.spotify.com/track/7AxXJXqJOMRqkgZxvG3r6E?si=ce5b8fe59e3f4f1f
ANYTHING BUT LOVE,9.96,https://open.spotify.com/track/66tlRqExpkn4kRyuxelzs5?si=f144ee5136c24383
NOBODY'S GIRL,9.90,https://open.spotify.com/track/2oPCpj9ezVq5D6IJNAGkL2?si=575cfe879c8641f9
HORSESHOE,10.00,https://open.spotify.com/track/3unY0p45pcQVnABntzlX8B?si=aa667a6d731d46d4
TIT FOR TAT,9.97,https://open.spotify.com/track/1dByUyyoRKL99fJJ6VCQzb?si=de059143c1644d82
Miss possessive,9.95,https://open.spotify.com/track/4eVeuJ3a4bBlQWwfRutxwJ?si=59689fade72649d2
Revolving door,9.97,https://open.spotify.com/track/5MUzICHHfkCdMsorkUG34R?si=8a79000be80c49be
bloodonmyhands,9.98,https://open.spotify.com/track/5XEiB0fnWSZpBhE2t7sumF?si=36229ee17afa4efe
Dear god,9.99,https://open.spotify.com/track/2eIRfeewYUjqr7gqc4tHWh?si=298ec483c5f44462
Purple lace bra,10.00,https://open.spotify.com/track/2AO3eTcub4Gh8epdyYoZEv?si=d580d38e15514ff2
Sports car,9.97,https://open.spotify.com/track/0vRZm4RiCqucc89v3AVbbI?si=06c117f316584f53
Signs,10.00,https://open.spotify.com/track/47fmAJR4rBqOu2c1Vmh73f?si=6d92731b612b4a93
Like I do,10.00,https://open.spotify.com/track/2eBIrx3OLzOwtRwGoXcCZM?si=49d40c073f7d4009
It's ok I'm ok,9.95,https://open.spotify.com/track/3wEItjsFLU3QTglN0inpko?si=6abb60b107cd42ef
No I'm not in love,9.95,https://open.spotify.com/track/0X5yoiAdFeKl8lBxXL6GSD?si=2adb123b048048f6
Means I care,9.99,https://open.spotify.com/track/2vRDMeUfvfP1Vvf4BfoiWp?si=ac0ee214c9cf4b5d
Greenlight,9.99,https://open.spotify.com/track/4U8Uus44j7KWQaU7ad0Gys?si=4f32d5522e1b46d6
2 hands,9.92,https://open.spotify.com/track/5jj9wgYAnMVUqJUYvw8LMt?si=61db4d3dfcab4c2e
Siren sounds,9.98,https://open.spotify.com/track/6SWcn5rpHaqpjJ5au2CQqv?si=e98536bd189f4112
Nostalgia,10.00,https://open.spotify.com/track/7gkw71l5TLZb5SDn7PR830?si=f53e7b9743864b0f
